Region/Classification,2002,2001,2000,1999,1998,Growth Rate 1998-2002 
World ,39.7,38.8,38.6,38,37.7,5.31%
Asia (excluding Middle East) ,27.8,26.9,26.6,25.7,25.4,9.45%
Central America/Caribbean ,46.9,45.7,44.8,42.9,41.3,13.56%
Europe ,74.3,72.5,70.5,70.6,73.1,1.64%
Middle East/North Africa ,25.7,25.7,26,25.1,24.7,4.05%
North America ,123.2,119.1,120.5,122.2,118.3,4.14%
South America ,69.7,68.4,69.1,67.6,64.2,8.57%
Sub-Saharan Africa ,13,12.9,13.1,12.8,12.6,3.17%
Developed Countries ,80,78,77.2,77.3,77.6,3.09%
Developing Countries ,28.9,28.1,28,27.1,26.6,8.65%
High-Income Countries ,93.5,91.9,92,92.2,90.9,2.86%
Low-Income Countries ,8.8,8.6,8.4,8.3,8.2,7.32%
Middle-Income Countries ,46.1,44.6,43.9,42.7,42.3,8.98%
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
